date,mean,std,skew,kurt,asymmetry,leverage,supply
2019-02-01,0.5182265188741036,0.043514509385380734,0.38133900541617005,0.20156157025787805,0.33779960876160153,0.9136774267509263,0.8977760210122286
2019-02-02,0.5309550798438532,0.04567173867534116,0.3619957152984766,0.19803314613387357,0.3310702289703839,0.9082547512148679,0.8977760210165453
2019-02-03,0.5235156754712912,0.04060104614483694,0.3247459030132816,0.2170931546135107,0.3624549232686173,0.9025614373632167,0.8977760210326547
2019-02-04,0.5421849699064851,0.02338813919602416,0.3461731098821239,0.2805039092993551,0.354512262117546,0.8969148985110996,0.8977760213377107
2019-02-05,0.5470745357503128,0.023617324941259465,0.3315953926654869,0.28952738733932143,0.37717020408470275,0.8908813333994663,0.897776021875667
2019-02-06,0.537628227533643,0.01972751397136615,0.3156640804540707,0.33389245585688954,0.3729081776654355,0.8883714123616137,0.8977760224465223
2019-02-07,0.5251809238520289,0.025091760628938965,0.35984767836694903,0.21347513543713487,0.37067636690104616,0.8857725578776724,0.8977760230173779
2019-02-08,0.5192060303654057,0.024232735199738696,0.37330898945699925,0.21408261053302258,0.37576284374558055,0.8770057487211511,0.8977760235882336
2019-02-09,0.5844768638412393,0.09802729058729687,0.7975528748632276,0.5788085261854612,0.3915217192293524,0.8737257307935135,0.8977760241590892
2019-02-10,0.5861692380532818,0.0979860964248229,0.7948664575284529,0.5751774258062173,0.423215914228229,0.8708544774604351,0.8977760247154725
2019-02-11,0.5925172956603144,0.09768343395593793,0.7857368574707646,0.5645675516446391,0.4374568285189831,0.8679760108500886,0.8977760250069992
2019-02-12,0.6100728911029184,0.08660479253589194,0.872565672608965,0.6931245252502666,0.43885066757026203,0.8651053362329759,0.8977760250735785
2019-02-13,0.615868669643042,0.08556047660942583,0.87113508832218,0.6967896943820844,0.43784444402831124,0.8620579104855108,0.8977760251072581
2019-02-14,0.5985894334260556,0.08528390918216758,0.903644109313943,0.7676490484777913,0.4153821643630829,0.858845857098332,0.8977760251409381
2019-02-15,0.6006658656621505,0.0847945782067836,0.904655384984592,0.7719682274119284,0.43675187280186684,0.855490191697299,0.8977760251746176
2019-02-16,0.5954222481120723,0.08438697492284448,0.9178809633669546,0.8035319243085203,0.4248869962155375,0.8443201319627696,0.8977760252082977
2019-02-17,0.5903496302191774,0.08355027331769126,0.9341683791849141,0.8473747629201287,0.41703112655337204,0.8331289815667458,0.8977760252403403
2019-02-18,0.6161695815345569,0.0814710386505161,0.9126865812674176,0.7949072295560956,0.4312784037022578,0.8217336032944976,0.8977760254884148
2019-02-19,0.6670915898294538,0.11117060638848722,0.7775542354124033,0.33607631964331636,0.45965345914289735,0.8104731190638889,0.8977760265689663
2019-02-20,0.6692236951176324,0.11092326045933779,0.7755281770170148,0.33410674347347563,0.4989152338024283,0.7994424241558472,0.8977760277215544
2019-02-21,0.7004276966101126,0.10324451757366758,0.7830033284072366,0.3377368455564354,0.5238716124190728,0.7878984886294471,0.8977760288741427
2019-02-22,0.6952949650002193,0.10522633548975052,0.7768256321080749,0.32905781245213644,0.5123069043256357,0.7773285940022316,0.8977760300267307
